Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
111,The Goo Goo Dolls,Iris,108,,12,"20,902,350","1,400,327,091",9/15/2025,85,"', acoustic rock, alternative rock, hardcore punk, jangle pop, pop punk, pop rock, post-grunge, power pop, punk rock, soft rock",1088721
112,Maroon 5,Memories,127,15,2,"31,572,344","1,378,872,769",6/11/2021,82,"2010s, adult contemporary, alternative rock, dance-pop, funk rock, indie rock, late 2000s, music for soccer moms, pop, pop rock, rock",649075
113,J. Cole,No Role Modelz,227,,64,"11,091,492","1,369,389,336",12/9/2014,84,hip hop,1513054
114,24kGoldn,Mood,91,27,1,"41,500,977","1,364,348,925",3/26/2021,78,"2020s, cloud rap, english, hip hop, lo-fi hip hop, pop rap, rap, trap",13084
115,Keane,Somewhere Only We Know,148,,80,"11,650,746","1,373,507,239",5/10/2004,86,"alternative pop, alternative rock, english, indie pop, piano rock, pop rock, post-britpop, rock and indie, synth-pop",2328465
116,Ed Sheeran,Bad Habits,78,20,3,"38,983,802","1,345,540,456",10/25/2021,82,mashup,701259
117,French Montana,Unforgettable,126,15,3,"25,652,839","1,349,704,254",7/14/2017,85,"east coast hip hop, hip hop",1060103
118,Bad Bunny,DÁKITI,103,17,1,"53,344,093","1,340,268,006",10/30/2020,78,"hip hop, latin, latin trap, reggaeton, trap latino",507432
119,Sam Smith,Unholy,57,22,1,"53,478,156","1,326,886,078",9/22/2022,76,"alliteration, alternative r&b, blue-eyed soul, english, lgbtqi, nuno, pop, pop soul, queer, soul, synth funk",25758
120,Gracie Abrams,That’s So True,49,26,3,"47,295,577","1,334,044,602",10/18/2024,90,"2020s, bedroom pop, folk pop, pop, singer-songwriter",883614
121,Doja Cat,Kiss Me More,80,20,3,"37,723,231","1,319,804,269",6/25/2021,84,"alternative rock, grunge, hip hop, nuno, pop, pop rap, post-grunge, power pop, rap, rock, trap, west coast hip hop",16670
122,Marshmello,Happier,117,22,2,"28,685,390","1,314,561,043",5/21/2021,83,"edm, english, future bass, hip hop, progressive house, trap edm",787133
123,Gigi Perez,Sailor Song,58,13,7,"32,953,798","1,322,577,436",7/26/2024,87,"2020s, indie folk, indie pop, queer",1068034
124,Camila Cabello,Havana,114,25,1,"33,129,706","1,305,095,150",1/12/2018,81,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",290198
125,Lana Del Rey,Summertime Sadness,144,,83,"10,683,039","1,313,138,859",1/1/2012,83,"2010s, 2020s, alternative, alternative pop, art pop, ballad, chamber pop, dream pop, electronic, hawaiian glam metal, indie pop, millennial, neo-psychedelia, pop, sad girl pop, singer-songwriter, trip hop, tumblr",2300747
126,Rema,Calm Down,82,3,9,"25,338,316","1,295,568,954",8/25/2022,80,"afrobeat, afrobeats, afrorave, nuno, trap",228936
127,Conan Gray,Heather,157,,12,"18,431,861","1,289,793,389",3/20/2020,84,"2020s, alternative pop, ballad, gen z, indie pop, pop, pop rock, queer, singer-songwriter, synth-pop",1389802
128,The Killers,Mr. Brightside,207,,94,"10,159,059","1,296,157,916",2004,88,"hip hop, rap, pop",3416984
129,John Legend,All of Me,310,15,3,"8,733,114","1,278,923,495",8/30/2013,85,"american, américain, contemporary r&b, neo soul, r&b, soul, soul and reggae, usa",1216734
130,Feid,LUNA,77,4,9,"28,125,311","1,275,818,674",4/18/2025,84,"latin, latin urban, reggaeton, trap latino",267169
