id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
374,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),652871153,10/6/2022,576944,2022,0.9625,20.29689035,0.802745577,0.150740361,0.9625,63.90948968,"soft pop, pop",5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,0.719,101.058,0.619,-4.898,0.0324,1,154486,,FALSE
375,Rihanna,Work,652396816,5/27/2016,1079736,2016,0.8875,20.29616355,0.802675042,0.282107202,0.8875,66.34696817,"r&b, pop soul, contemporary r&b, pop star, pop",72TFWvU3wUYdUuxejTTIzt,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
376,Maroon 5,What Lovers Do,651050835,6/15/2018,63663,2018,0.9125,20.29409829,0.802474614,0.01663301,0.9125,58.87272099,pop,0GxQ1A5L9xnMOytbP6eKBG,0.661145833,0.641541667,0.483291667,119.947,0.196785937,-5.487,0.09895625,1,204280,,0
377,Maluma,Según Quién,650720813,8/25/2023,118876,2023,0.975,20.29359125,0.802425407,0.031058771,0.975,60.5530335,"reggaeton, latin, urbano latino",4bw8mcDUSRWfQo63ZTYRnU,0.752833333,0.739,0.615916667,119.947,0.231666667,-5.487,0.22315,1,204280,,0
378,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,650610727,1/1/1959,1138320,1959,0.175,20.29342206,0.802408988,0.29741372,0.175,52.54286098,"christmas, adult standards, big band, swing music",2uFaJJtFpPDc5Pa95XzTvg,0.451,0.24,0.701,134.009,0.912,-14.014,0.0351,1,117146,,FALSE
379,Feid,Feliz Cumpleaños Ferxxo,645307890,9/14/2022,214724,2022,0.9625,20.28523811,0.801614756,0.056101431,0.9625,61.01378071,"reggaeton, urbano latino",2CeKVsFFXG4QzA415QygGb,0.865,0.573,0.563,94.999,0.0863,-5.501,0.0678,1,155960,,FALSE
380,José Feliciano,Feliz Navidad,644561419,9/24/2002,955795,2002,0.7125,20.28408067,0.801502429,0.249724551,0.7125,61.81685799,"christmas, bolero, villancicos",7taXf5odg9xCAZERYfyOkS,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
381,Anne-Marie,2002,644432285,4/27/2018,520849,2018,0.9125,20.28388031,0.801482984,0.136084156,0.9125,62.40667389,"pop, soul, electronic, alternative r&b, dance-pop",2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,0.603,96.133,0.0372,-2.881,0.117,0,186986,,FALSE
382,Shawn Mendes,Stitches,643947324,4/14/2015,1064864,2015,0.875,20.28312749,0.801409925,0.278221524,0.875,65.91714195,"folk pop, pop, pop rock, pop soul, teen pop",5jsw9uXEGuKyJzs0boZ1bT,0.6685,0.712375,0.584125,119.947,0.09589125,-5.487,0.1194125,1,204280,,0
383,Harry Styles,Late Night Talking,643040689,5/20/2022,1006617,2022,0.9625,20.28171856,0.801273192,0.263003055,0.9625,67.20375125,"pop, rock, soft rock, soul, synth-pop",1qEmFfgcLObUfQm0j1W2CK,0.534,0.7735,0.6095,119.947,0.232,-5.487,0.0511,1,204280,,0
