Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1801,Lana Del Rey,Radio,,,,,130299132,1/1/2012,1527824,2012.0,0.8375,18.68534339,0.646348922,0.39918127,0.8375,61.04288418,Other,"hawaiian glam metal, dream pop, alternative pop, chamber pop, electronic"
1802,Bryson Tiller,Exchange,,,,,130212326,10/2/2015,741775,2015.0,0.875,18.68467696,0.646284247,0.193806535,0.875,55.62840838,Hip-Hop / Rap,"trap soul, r&b"
1803,Adele,Water Under the Bridge,,,,,130072233,11/20/2015,585850,2015.0,0.875,18.6836005,0.646179779,0.153067274,0.875,54.40100716,R&B / Soul,soft pop
1804,Myke Towers,Si Se Da,,,,,130043307,1/24/2020,44063,2020.0,0.9375,18.68337809,0.646158195,0.011512026,0.9375,51.4032705,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino"
1806,Peso Pluma,LAGUNAS,,,,,129855425,6/22/2023,112626,2023.0,0.975,18.68193228,0.646017882,0.029425804,0.975,52.68366825,Other,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos"
1807,Lady Gaga,Stupid Love,,,,,129827120,8/20/2024,532133,2024.0,0.9875,18.68171428,0.645996726,0.13903238,0.9875,56.2208077,Pop,"art pop, pop"
1808,Post Malone,Hollywood's Bleeding,,,,,129787906,9/6/2019,508026,2019.0,0.925,18.68141219,0.645967409,0.13273383,0.925,54.78038534,Hip-Hop / Rap,"country, trap, pop rap, r&b, cloud rap"
1809,Tove Lo,Talking Body,,,,,129753440,9/24/2014,777951,2014.0,0.8625,18.6811466,0.645941634,0.203258409,0.8625,55.64483398,Indie / Alternative,"pop, dance-pop, contemporary r&b, indie pop, alternative pop"
1810,Wisin,Fiel - Remix,,,,,129729188,6/15/2021,49183,2021.0,0.95,18.68095967,0.645923493,0.012849752,0.95,51.68166723,Classical / Instrumental,"reggaeton, latin"
1811,Jennifer Lopez,Ain't Your Mama,,,,,129575363,4/7/2016,271467,2016.0,0.8875,18.67977323,0.645808352,0.070926943,0.8875,52.16822587,Latin,"pop, contemporary r&b, dance-pop, pop rap, electronic"
1812,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",,,,,128974936,2/28/2019,222429,2019.0,0.925,18.67512866,0.645357607,0.058114553,0.925,52.51131695,Other,pop
1813,Labrinth,Still Don't Know My Name,,,,,128666708,10/4/2019,708526,2019.0,0.925,18.67273597,0.645125403,0.185119412,0.925,56.30985249,Other,hip-hop
1814,Milly,No Te Enamores - Remix,,,,,128657047,4/16/2021,20402,2021.0,0.95,18.67266088,0.645118116,0.005330004,0.95,51.41580592,Hip-Hop / Rap,reggaeton
1815,G-Eazy,Good Life,,,,,128556553,3/17/2017,5143,2017.0,0.9,18.67187947,0.645042282,0.001343213,0.9,50.29241051,Hip-Hop / Rap,trap
1816,Sam Smith,Money On My Mind,,,,,128529242,5/26/2014,457213,2014.0,0.8625,18.67166701,0.645021663,0.119457677,0.8625,53.08481347,Indie / Alternative,soft pop
1817,Ali Gatie,What If I Told You That I Love You,,,,,128458623,1/24/2020,154313,2020.0,0.9375,18.67111742,0.644968327,0.040317564,0.9375,52.20794324,Hip-Hop / Rap,"contemporary r&b, hip hop soul, pop soul, r&b"
1818,Nevada,The Mack,,,,,128422588,9/23/2016,116980,2016.0,0.8875,18.67083686,0.644941099,0.030563395,0.8875,50.91395679,Other,"reggaeton, latin"
1819,TWICE,Strategy,,,,,136919883,6/20/2025,359336,2025.0,1.0,18.73490652,0.651158902,0.093884891,1.0,55.37449183,R&B / Soul,k-pop
